,Last Click,First Click,Linear,Time Decay,Data-Driven,Disagreement
Direct,0.17516775178334626,0.11078373294932123,0.1235971595933738,0.15629866892588912,0.412651223727201,0.1239
Meta Feed,0.15072427552626005,0.1913121386162366,0.2144020463820203,0.17556206844950942,0.0,0.0851
YouTube,0.04792952873081593,0.17753672483654898,0.13635459518381562,0.08093217423552604,0.0,0.0703
Google Search,0.4201048834228123,0.31872370483824763,0.33147249253606015,0.3863676127573519,0.42982139251035567,0.0505
Instagram Stories,0.08099014893710653,0.09823848318465003,0.08933987483115424,0.08371208364715775,0.0,0.0399
Email,0.1250834115996589,0.10340521557499556,0.10483383147357599,0.1171273919845657,0.15752738376244343,0.022
